ano,data_dados,id_estacao,precipitacao_total,temperatura_max,temperatura_min
2023,2023-11-19,A621,0.0,27.1,26.1
2023,2023-11-19,A621,0.4,25.1,23.6
2023,2023-11-19,A621,16.6,28.7,23.3
2023,2023-11-19,A621,0.6,24.7,24.3
2023,2023-11-19,A621,0.0,28.4,27.3
2023,2023-11-19,A621,0.0,29.3,27.3
2023,2023-11-18,A621,0.0,41.3,40.5
2023,2023-11-18,A621,0.0,42.5,41.6
2023,2023-11-18,A621,0.0,41.7,41.1
2023,2023-11-18,A621,0.0,38.9,36.0
2023,2023-11-18,A621,0.0,32.8,30.0
2023,2023-11-18,A621,0.0,41.6,38.9
2023,2023-11-18,A621,0.0,33.5,30.8
2023,2023-11-18,A621,0.0,30.1,28.6
2023,2023-11-18,A621,0.0,39.4,37.8
2023,2023-11-18,A621,0.0,37.8,35.1
2023,2023-11-18,A621,0.0,29.0,28.4
2023,2023-11-18,A621,0.0,36.0,32.7
2023,2023-11-18,A621,0.0,40.9,39.3
2023,2023-11-18,A621,0.0,30.9,27.9
2023,2023-11-18,A621,0.0,29.7,28.6
2023,2023-11-18,A621,0.0,35.7,33.1
2023,2023-11-18,A621,0.0,41.5,40.9
2023,2023-11-18,A621,0.0,30.1,29.7
2023,2023-11-18,A621,0.0,27.2,26.5
2023,2023-11-18,A621,0.0,28.6,27.2
2023,2023-11-18,A621,0.0,28.6,26.4
2023,2023-11-18,A621,0.0,27.9,26.9
2023,2023-11-18,A621,0.0,29.2,27.3
2023,2023-11-18,A621,0.0,27.5,26.8
2023,2023-11-17,A621,0.0,28.0,27.7
2023,2023-11-17,A621,0.0,37.8,35.9
2023,2023-11-17,A621,0.0,36.9,34.6
2023,2023-11-17,A621,0.0,33.3,31.9
2023,2023-11-17,A621,0.0,38.8,37.6
2023,2023-11-17,A621,0.0,32.0,30.8
2023,2023-11-17,A621,0.0,36.2,35.2
2023,2023-11-17,A621,0.0,35.3,33.3
2023,2023-11-17,A621,0.0,33.3,29.9
2023,2023-11-17,A621,0.0,37.7,36.8
2023,2023-11-17,A621,0.0,39.1,37.2
2023,2023-11-17,A621,0.0,29.9,28.9
2023,2023-11-17,A621,0.0,28.3,27.8
